start_index,success,rss,rmse,aic,bic,message,start_k1f,start_k2f,fit_k1f,fit_k2f
7,True,1.3330697469253684e-07,6.085204613845893e-05,-694.9086881472258,-691.7416502703136,`xtol` termination condition is satisfied.,0.10241275952213624,0.0034769290973061975,0.40010422425665637,0.012801171901477152
6,True,1.3505856850323986e-07,6.12505257354398e-05,-694.4387450101177,-691.2717071332055,Both `ftol` and `xtol` termination conditions are satisfied.,8.438095142167027,6.306311718628963e-05,0.30301835778324876,0.40013891766393084
5,True,1.352738104826723e-07,6.129931359110718e-05,-694.3814177086225,-691.2143798317103,`gtol` termination condition is satisfied.,0.00020725569294034323,1.3049106632003657e-05,0.4002981411911811,0.3759035625789101
4,True,1.352859410437232e-07,6.130206201075203e-05,-694.3781895847375,-691.2111517078253,`gtol` termination condition is satisfied.,0.0012577496556486067,0.0002766494726970484,0.37974742438670694,0.4003375021235319
8,True,1.3533633865753052e-07,6.131347927239946e-05,-694.3647811239111,-691.1977432469989,`gtol` termination condition is satisfied.,0.04454297981397415,0.0824892406220555,0.3955726238906984,0.4012125011160908
3,True,1.3534820175687277e-07,6.131616647364905e-05,-694.3616256309824,-691.1945877540702,`gtol` termination condition is satisfied.,1.779512910138891e-05,0.01319867905855036,0.4027415357293297,0.3981762823791366
0,True,1.3535218309859462e-07,6.131706829138075e-05,-694.3605666867769,-691.1935288098647,`gtol` termination condition is satisfied.,0.31388589348213763,0.316968060672873,0.4037577174457867,0.39865158703839404
2,True,1.356080915726507e-07,6.13750065790109e-05,-694.2925662552274,-691.1255283783152,`xtol` termination condition is satisfied.,0.03880213881605602,3.734150427255006,0.4000524032093871,7.7314916416957
1,True,1.3573690857478224e-07,6.140415036976605e-05,-694.2583853237741,-691.0913474468618,`xtol` termination condition is satisfied.,6.080679631683518,0.17235282663996454,7.575109256542209,0.4000515796589806
9,True,0.15105217532442733,0.0647757189000004,-193.051360700812,-189.8843228238998,`xtol` termination condition is satisfied.,2.3150566167539964e-06,2.6343617250297775e-06,2.5342316138969236e-06,2.636596968799626e-06
