time,A,B
0.0,1.0,0.0
1.0,0.991895357216809,0.008104642783191021
2.0,0.9838563996675955,0.016143600332404584
3.0,0.9758825942703309,0.024117405729669195
4.0,0.9679734129396907,0.032026587060309315
5.0,0.9601283325727944,0.03987166742720564
6.0,0.9523468340851879,0.04765316591481212
7.0,0.944628402410844,0.05537159758915603
8.0,0.9369725265021622,0.06302747349783787
9.0,0.9293786993299686,0.07062130067003142
10.0,0.9218464178835163,0.07815358211648377
11.0,0.9143751831704848,0.08562481682951524
12.0,0.9069645002169806,0.09303549978301945
13.0,0.8996138780675368,0.10038612193246327
14.0,0.8923228297851131,0.1076771702148869
15.0,0.8850908724510963,0.11490912754890377
16.0,0.8779175269387393,0.1220824730612608
17.0,0.8708023156110956,0.12919768438890447
18.0,0.863744767883248,0.13625523211675195
19.0,0.8567444178542846,0.14325558214571543
20.0,0.8498008030883603,0.15019919691163983
21.0,0.8429134646146973,0.15708653538530276
22.0,0.8360819469275856,0.16391805307241442
23.0,0.8293057979863823,0.17069420201361774
24.0,0.8225845692155117,0.1774154307844883
25.0,0.8159178155044657,0.18408218449553435
26.0,0.8093050952078032,0.1906949047921968
27.0,0.8027459701451508,0.19725402985484924
28.0,0.7962400056012021,0.20375999439879797
29.0,0.7897867703257182,0.21021322967428185
30.0,0.7833858365335276,0.2166141634664725
31.0,0.7770367799045259,0.2229632200954742
32.0,0.7707391795836762,0.22926082041632387
33.0,0.764492618181009,0.23550738181899109
34.0,0.7582966817716219,0.24170331822837815
35.0,0.75215095989568,0.24784904010431996
36.0,0.7460550455279558,0.2539449544720443
37.0,0.7400085321572787,0.25999146784272126
38.0,0.7340110190184939,0.26598898098150614
39.0,0.7280621108664336,0.2719378891335664
40.0,0.7221614153353757,0.2778385846646243
41.0,0.7163085429390432,0.2836914570609568
42.0,0.7105031070706044,0.28949689292939557
43.0,0.7047447240026729,0.29525527599732715
44.0,0.6990330128873073,0.30096698711269265
45.0,0.693367595756012,0.30663240424398797
46.0,0.6877480975197362,0.31225190248026374
47.0,0.6821741459688746,0.3178258540311254
48.0,0.676645371773267,0.323354628226733
49.0,0.6711614084821986,0.3288385915178013
50.0,0.6657218925244,0.3342781074756
51.0,0.6603264632080467,0.33967353679195333
52.0,0.6549747627207597,0.3450252372792403
53.0,0.6496664361296053,0.3503335638703947
54.0,0.644401131381095,0.355598868618905
55.0,0.6391784993011855,0.3608215006988145
56.0,0.633998193595279,0.3660018064047211
57.0,0.6288598708482225,0.37114012915177746
58.0,0.623763190524309,0.37623680947569105
59.0,0.618707814967276,0.381292185032724
60.0,0.6136934090097429,0.38630659099025705
61.0,0.6087196372497273,0.39128036275027267
62.0,0.6037861712758277,0.3962138287241724
63.0,0.5988926863004352,0.4011073136995648
64.0,0.5940388598749096,0.40596114012509044
65.0,0.5892243718895783,0.4107756281104217
66.0,0.5844489045737375,0.4155510954262625
67.0,0.5797121424956511,0.4202878575043489
68.0,0.5750137725625515,0.4249862274374485
69.0,0.570353484020639,0.429646515979361
70.0,0.5657309684550825,0.4342690315449175
71.0,0.5611459197900187,0.4388540802099813
72.0,0.5565980342885529,0.44340196571144713
73.0,0.5520870105527582,0.44791298944724184
74.0,0.5476125495236761,0.45238745047632395
75.0,0.5431743544813162,0.45682564551868377
76.0,0.5387721310446566,0.4612278689553434
77.0,0.5344055871716432,0.4655944128283568
78.0,0.5300744331591903,0.46992556684080966
79.0,0.5257783816431805,0.4742216183568196
80.0,0.5215171475984641,0.4784828524015359
81.0,0.5172904483388603,0.48270955166113966
82.0,0.5130980035171561,0.48690199648284394
83.0,0.5089395351251066,0.49106046487489335
84.0,0.5048147674934355,0.4951852325065646
85.0,0.5007234272918342,0.49927657270816583
86.0,0.4966652434350513,0.5033347565649487
87.0,0.4926399442929174,0.5073600557070825
88.0,0.4886472634473809,0.5113527365526191
89.0,0.48468693834953885,0.5153130616504611
90.0,0.48075870832096357,0.5192412916790364
91.0,0.47686231455370215,0.5231376854462979
92.0,0.47299750011027686,0.5270024998897231
93.0,0.46916400992368495,0.530835990076315
94.0,0.46536159079739864,0.5346384092026013
95.0,0.4615899914053652,0.5384100085946348
96.0,0.4578489622920069,0.5421510377079931
97.0,0.454138255872221,0.545861744127779
98.0,0.4504576264313798,0.5495423735686202
99.0,0.4468068301253306,0.5531931698746694
100.0,0.44318562498039576,0.5568143750196042
101.0,0.4395937708933726,0.5604062291066274
102.0,0.43603102963153345,0.5639689703684666
103.0,0.4324971648326257,0.5675028351673743
104.0,0.42899194200487156,0.5710080579951284
105.0,0.42551512852696866,0.5744848714730313
106.0,0.42206649364808924,0.5779335063519108
107.0,0.41864580848788074,0.5813541915121193
108.0,0.4152528460364656,0.5847471539635344
109.0,0.4118873811544412,0.5881126188455588
110.0,0.40854919057288,0.5914508094271199
111.0,0.40523805289332954,0.5947619471066704
112.0,0.4019537485878122,0.5980462514121878
113.0,0.3986960599988255,0.6013039400011745
114.0,0.39546477113738565,0.6045352288626143
115.0,0.39225966547410906,0.607740334525891
116.0,0.3890805313695531,0.610919468630447
117.0,0.3859271598883517,0.6140728401116484
118.0,0.3827993435757061,0.6172006564242939
119.0,0.37969687645738515,0.620303123542615
120.0,0.37661955403972486,0.6233804459602752
121.0,0.37356717330962874,0.6264328266903714
122.0,0.37053953273456774,0.6294604672654324
123.0,0.3675364322625802,0.6324635677374199
124.0,0.3645576733222718,0.6354423266777283
125.0,0.3616030588228157,0.6383969411771844
126.0,0.3586723931539524,0.6413276068460476
127.0,0.35576548218598986,0.6442345178140102
128.0,0.35288213326980344,0.6471178667301967
129.0,0.35002215523683583,0.6499778447631642
130.0,0.34718535839909714,0.6528146416009029
131.0,0.344371554549165,0.655628445450835
132.0,0.34158055696018436,0.6584194430398157
133.0,0.33881218038586747,0.6611878196141325
134.0,0.33606624106049415,0.6639337589395059
135.0,0.33334255669891155,0.6666574433010884
136.0,0.33064094649653425,0.6693590535034658
137.0,0.32796123112934417,0.6720387688706558
138.0,0.3253032327538907,0.6746967672461094
139.0,0.32266677500729063,0.6773332249927094
140.0,0.3200516830072281,0.679948316992772
141.0,0.31745778335195457,0.6825422166480455
142.0,0.3148849041202892,0.6851150958797109
143.0,0.3123328749580931,0.687667125041907
144.0,0.309801528198836,0.690198471801164
145.0,0.30729069688015603,0.692709303119844
146.0,0.30480021494146103,0.695199785058539
147.0,0.3023299175965841,0.6976700824034159
148.0,0.29987964133378364,0.7001203586662165
149.0,0.29744922391574313,0.702550776084257
150.0,0.29503850437957135,0.7049614956204286
151.0,0.2926473230368023,0.7073526769631977
152.0,0.29027552147339514,0.7097244785266049
153.0,0.2879229425497343,0.7120770574502657
154.0,0.28558943040062934,0.7144105695993708
155.0,0.2832748304353151,0.7167251695646849
156.0,0.28097898933745163,0.7190210106625484
157.0,0.2787017550651242,0.7212982449348758
