time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.02911517385135129,-1372823.2933565406,41304.33235750628
20.0,0.030635919922411957,1401514.121940907,52278.69958502539
30.0,0.030997227156594642,2060656.4977035625,54886.0502435837
40.0,0.031233383902598555,2491483.5166131654,56590.260369929994
50.0,0.03139277910176331,2782272.4085108987,57740.52567932349
60.0,0.03150278569272923,2982960.3517867895,58534.3812411961
70.0,0.03157980478288012,3123468.321896985,59090.18460306556
80.0,0.031634238296165865,3222772.8247515727,59483.00058704191
90.0,0.03167295301673967,3293401.1169133075,59762.38290390126
100.0,0.03170060723414219,3343851.4396138466,59961.9478036174
110.0,0.03172042025897675,3379996.866621517,60104.92723625254
120.0,0.03173464527605817,3405947.9427894796,60207.58116660945
130.0,0.03174487366644414,3424607.8668136727,60281.393694800856
140.0,0.03175223645899934,3438040.00466737,60334.52681863948
150.0,0.03175754041251149,3447716.1478169635,60372.802461567466
160.0,0.03176136327810455,3454690.302970341,60400.38992779737
170.0,0.03176411984867377,3459719.1878141984,60420.28254385664
180.0,0.03176610806729842,3463346.3478148812,60434.63039701285
190.0,0.031767542438844304,3465963.109891681,60444.98144797713
200.0,0.03176857740212404,3467851.220868969,60452.45019461076
210.0,0.0317693242209913,3469213.6623477302,60457.83956543188
220.0,0.031769863213595276,3470196.9608590617,60461.72917125204
